FOMD,TPR,Cut Ratio,Conductance,Flake-ODF,Separability,Density,Cohesiveness,Clustering Coefficient
0,1,7.25E-05,0.821428571,0.333333333,0.108695652,1,0.6,1
0.285714286,1,3.69E-05,0.706896552,0.714285714,0.207317073,0.80952381,0.571428571,0.923809524
0,1,0.000244648,0.928205128,0.857142857,0.038674033,1,0.666666667,1
0.333333333,1,9.57E-05,0.85046729,0.777777778,0.087912088,0.666666667,0.454545455,0.832804233
0.285714286,0.571428571,9.78E-05,0.923404255,1,0.041474654,0.428571429,0.428571429,0.214285714
0.5,0,0.000272414,0.980141844,1,0.010130246,0.25,0.333333333,0
0.333333333,0.833333333,3.68E-05,0.833333333,0.833333333,0.1,0.466666667,0.333333333,0.611111111
0.166666667,1,3.15E-05,0.731707317,0.666666667,0.183333333,0.733333333,0.454545455,0.822222222
0.428571429,1,6.76E-06,0.294117647,0.142857143,1.2,0.857142857,0.6,0.914285714
0.25,1,0.000190414,0.952662722,0.875,0.02484472,0.428571429,0.166666667,0.6875
0.222222222,0.888888889,4.66E-05,0.826086957,1,0.105263158,0.388888889,0.076923077,0.777777778
0.375,0,5.48E-05,0.908496732,1,0.050359712,0.25,0.2,0
0.461538462,0.615384615,0.000113541,0.932270916,1,0.036324786,0.217948718,0.166666667,0.31025641
0,1,4.21E-05,0.727272727,0.666666667,0.1875,1,0.6,1
0,1,7.67E-05,0.829545455,0.833333333,0.102739726,1,0.6,1
0.285714286,0.857142857,2.61E-05,0.707317073,0.571428571,0.206896552,0.571428571,0.6,0.647619048
0.5,0.8125,9.99E-05,0.824390244,0.875,0.106508876,0.45,0.625,0.70719697
0,1,3.68E-05,0.7,0.5,0.214285714,1,0.6,1
0.5,0.7,1.77E-05,0.682926829,0.5,0.232142857,0.288888889,0.142857143,0.463333333
0.166666667,0.5,2.10E-05,0.769230769,0.666666667,0.15,0.4,0.2,0.388888889
0.333333333,0,9.67E-05,0.948453608,0.833333333,0.027173913,0.333333333,0.333333333,0
0.1,1,7.25E-05,0.839416058,0.8,0.095652174,0.488888889,0.076923077,0.916666667
0,1,7.34E-05,0.795121951,0.857142857,0.128834356,1,0.666666667,1
0.222222222,0.333333333,6.38E-05,0.91,1,0.049450549,0.25,0.111111111,0.259259259
